Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"IG","Government Expenditure","056","Belgium","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2011","2011","millions","21.348772","A","Official figure","Consolidated Central Government Expenditure Including Social Security Funds"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2012","2012","millions","17.640714","A","Official figure","Consolidated Central Government Expenditure Including Social Security Funds"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2013","2013","millions","16.770498","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2014","2014","millions","15.01724","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2015","2015","millions","0.532359","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2016","2016","millions","0","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2017","2017","millions","0","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2018","2018","millions","10.510495","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","056","Belgium","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2019","2019","millions","0","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2001","2001","millions","92.59474","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2002","2002","millions","155.187231","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2003","2003","millions","212.331994","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2004","2004","millions","240.260211","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2005","2005","millions","289.673048","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2006","2006","millions","381.268973","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2007","2007","millions","355.988944","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2008","2008","millions","352.569833","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2009","2009","millions","282.979568","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2010","2010","millions","202.544123","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2011","2011","millions","641.996267","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2012","2012","millions","652.303801","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2013","2013","millions","634.188477","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2014","2014","millions","638.263219","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2015","2015","millions","734.50238","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2016","2016","millions","423.035279","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2017","2017","millions","472.420446","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2018","2018","millions","549.564937","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2019","2019","millions","577.562641","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","100","Bulgaria","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2020","2020","millions","566.873568","A","Official figure","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2001","2001","millions","255.630824","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2002","2002","millions","315.120814","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2003","2003","millions","378.228305","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2004","2004","millions","559.944688","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2005","2005","millions","527.380073","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2006","2006","millions","547.319828","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2007","2007","millions","683.566151","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2008","2008","millions","886.681207","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2009","2009","millions","758.071654","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2010","2010","millions","792.404804","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2011","2011","millions","759.044511","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2012","2012","millions","724.905205","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2013","2013","millions","537.719796","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2014","2014","millions","495.54315","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2015","2015","millions","348.086653","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2016","2016","millions","350.486107","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2017","2017","millions","360.970411","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2018","2018","millions","329.707067","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","191","Croatia","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2019","2019","millions","426.317968","X","Figure from international organizations","Consolidated Central Government Expenditure Excluding Social Security Funds"
"IG","Government Expenditure","196","Cyprus","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2001","2001","millions","198.759827","A","Official figure","Consolidated Central Government Expenditure Including Social Security Funds"
"IG","Government Expenditure","196","Cyprus","6110","Value US$","23161","Agriculture, forestry, fishing (Central Government)","2002","2002","millions","187.564477","A","Official figure","Consolidated Central Government Expenditure Including Social Security Funds"
